label,error_type,pred,true,speaker,year,text
emotion_appeal,FN,0,1,William J. Clinton,1999.0,Parents should never have to worry about choosing between their children and their work.
emotion_appeal,FN,0,1,William J. Clinton,1996.0,"Lake Erie was dead, and now it's a thriving resource."
emotion_appeal,FN,0,1,George Bush,1990.0,"And if I might, I'd like to say I'm very pleased that Governor Gardner and Governor Clinton , Governor Branstad , Governor Campbell , all of whom were very key in these discussions, these deliberations, are with us here tonight."
emotion_appeal,FP,1,0,"Joseph R. Biden, Jr.",2024.0,And we're standing up against China's unfair economic practices.
emotion_appeal,FP,1,0,"Joseph R. Biden, Jr.",2024.0,"Folks, I would respectfully suggest to my friend in—my Republican friends owe it to the American people."
emotion_appeal,FN,0,1,Donald J. Trump (1st Term),2018.0,"In April, this will be the last time you will ever file under the old and very broken system, and millions of Americans will have more take-home pay starting next month—a lot more."
emotion_appeal,FP,1,0,James Kariuki CMG,,The rest of the world wants peace in Ukraine – a peace in line with the UN Charter – and we welcome the significant progress which has been made.
emotion_appeal,FN,0,1,John F. Kennedy,1963.0,We salute Specialist James Allen Johnson who died on the border of South Korea.
emotion_appeal,FP,1,0,Dwight D. Eisenhower,1957.0,Any program that endangers our economy could defeat us.
emotion_appeal,FN,0,1,George Washington,,"True it is that our country, much to its honor, contains many seminaries of learning highly repeatable and useful; but the funds upon which they rest are too narrow to command the ablest professors in the different departments of liberal knowledge for the institution contemplated, though they would be excellent auxiliaries."
emotion_appeal,FN,0,1,"Joseph R. Biden, Jr.",2023.0,"No parent should have to drive by a McDonald's parking lot to help their—do their homework online with their kids, which many—thousands were doing across the country."
emotion_appeal,FP,1,0,,2016.0,"Our citizens, the nearly 7.5 billion people we collectively serve, are better than the cynics and pessimists think they are."
emotion_appeal,FN,0,1,George W. Bush,2008.0,This evening I want to speak directly to our men and women on the frontlines.
emotion_appeal,FN,0,1,,2018.0,"This doesn’t apply to me.” So while I commend your effort on this front, it may not be good enough."
emotion_appeal,FP,1,0,Richard Nixon,1971.0,Now it is time we became the healthiest nation in the world.
emotion_appeal,FP,1,0,Lyndon B. Johnson,1967.0,The emerging spirit of confidence is precisely what we hoped to achieve when we went to work a generation ago to put our shoulder to the wheel and try to help rebuild Europe.
emotion_appeal,FN,0,1,John Adams,,I observe with much satisfaction that the product of the revenue during the present year has been more considerable than during any former equal period.
