model,run_name,label,f1,precision,recall,average_precision,support
distilbert,distilbert_20260408_200943,emotion_appeal,0.5217391304347826,0.4054054054054054,0.7317073170731707,0.5573657054798912,41
distilbert,distilbert_20260408_200943,authority_appeal,0.1492537313432835,0.081967213114754,0.8333333333333334,0.2311731367143738,6
distilbert,distilbert_20260408_200943,polarization,0.1186440677966101,0.0636363636363636,0.875,0.33319817634046,8
distilbert,distilbert_20260408_200943,presumption,0.3176470588235294,0.1888111888111888,1.0,0.3377845431720978,27
distilbert,distilbert_20260408_200943,exaggeration,0.09375,0.0545454545454545,0.3333333333333333,0.0885714508174551,9
distilbert,distilbert_20260408_200943,rhetorical_framing,0.6956521739130435,0.5333333333333333,1.0,0.6127022406220695,80
dummy,dummy_20260408_200920,emotion_appeal,0.4293193717277487,0.2733333333333333,1.0,0.2733333333333333,41
dummy,dummy_20260408_200920,authority_appeal,0.0,0.0,0.0,0.04,6
dummy,dummy_20260408_200920,polarization,0.0,0.0,0.0,0.0533333333333333,8
dummy,dummy_20260408_200920,presumption,0.3050847457627119,0.18,1.0,0.18,27
dummy,dummy_20260408_200920,exaggeration,0.0,0.0,0.0,0.06,9
dummy,dummy_20260408_200920,rhetorical_framing,0.6956521739130435,0.5333333333333333,1.0,0.5333333333333333,80
logreg_tfidf,logreg_tfidf_20260408_200921,emotion_appeal,0.5043478260869565,0.3918918918918919,0.7073170731707317,0.4752949676491458,41
logreg_tfidf,logreg_tfidf_20260408_200921,authority_appeal,0.4285714285714285,0.375,0.5,0.247875816993464,6
logreg_tfidf,logreg_tfidf_20260408_200921,polarization,0.1714285714285714,0.1111111111111111,0.375,0.412558260176633,8
logreg_tfidf,logreg_tfidf_20260408_200921,presumption,0.5098039215686274,0.5416666666666666,0.4814814814814814,0.4854443254717806,27
logreg_tfidf,logreg_tfidf_20260408_200921,exaggeration,0.2222222222222222,0.1481481481481481,0.4444444444444444,0.0813263760237025,9
logreg_tfidf,logreg_tfidf_20260408_200921,rhetorical_framing,0.7395833333333334,0.6339285714285714,0.8875,0.8198596661999478,80
svm_tfidf,svm_tfidf_20260408_200923,emotion_appeal,0.3902439024390244,0.3902439024390244,0.3902439024390244,0.3879171161818902,41
svm_tfidf,svm_tfidf_20260408_200923,authority_appeal,0.4,0.3333333333333333,0.5,0.1999413388543823,6
svm_tfidf,svm_tfidf_20260408_200923,polarization,0.3,0.25,0.375,0.3631553158784888,8
svm_tfidf,svm_tfidf_20260408_200923,presumption,0.4347826086956521,0.5263157894736842,0.3703703703703703,0.426233454692673,27
svm_tfidf,svm_tfidf_20260408_200923,exaggeration,0.0,0.0,0.0,0.0838350295328948,9
svm_tfidf,svm_tfidf_20260408_200923,rhetorical_framing,0.7526881720430108,0.660377358490566,0.875,0.8172991646938939,80
