model,label,f1,precision,recall
DistilBERT,emotion_appeal,0.6087,0.4828,0.8235
DistilBERT,authority_appeal,0.4,0.3077,0.5714
DistilBERT,polarization,0.2472,0.1429,0.9167
DistilBERT,presumption,0.3409,0.2055,1.0
DistilBERT,exaggeration,0.1029,0.0551,0.7778
DistilBERT,rhetorical_framing,0.7395,0.5867,1.0
Hybrid,emotion_appeal,0.5934,0.675,0.5294
Hybrid,authority_appeal,0.0,0.0,0.0
Hybrid,polarization,0.6667,0.6,0.75
Hybrid,presumption,0.3962,0.2763,0.7
Hybrid,exaggeration,0.129,0.0909,0.2222
Hybrid,rhetorical_framing,0.8475,0.8427,0.8523
TF-IDF + LR,emotion_appeal,0.5938,0.4935,0.7451
TF-IDF + LR,authority_appeal,0.2,0.3333,0.1429
TF-IDF + LR,polarization,0.1111,0.1667,0.0833
TF-IDF + LR,presumption,0.5352,0.4634,0.6333
TF-IDF + LR,exaggeration,0.1765,0.12,0.3333
TF-IDF + LR,rhetorical_framing,0.798,0.7043,0.9205
TF-IDF + SVM,emotion_appeal,0.5612,0.4432,0.7647
TF-IDF + SVM,authority_appeal,0.3077,0.3333,0.2857
TF-IDF + SVM,polarization,0.1,0.125,0.0833
TF-IDF + SVM,presumption,0.5,0.4706,0.5333
TF-IDF + SVM,exaggeration,0.0,0.0,0.0
TF-IDF + SVM,rhetorical_framing,0.804,0.7207,0.9091
Dummy,emotion_appeal,0.0,0.0,0.0
Dummy,authority_appeal,0.0,0.0,0.0
Dummy,polarization,0.0,0.0,0.0
Dummy,presumption,0.0,0.0,0.0
Dummy,exaggeration,0.0,0.0,0.0
Dummy,rhetorical_framing,0.7395,0.5867,1.0
