speaker,emotion_appeal_mean,emotion_appeal_sum,emotion_appeal_count,authority_appeal_mean,authority_appeal_sum,authority_appeal_count,polarization_mean,polarization_sum,polarization_count,presumption_mean,presumption_sum,presumption_count,exaggeration_mean,exaggeration_sum,exaggeration_count,rhetorical_framing_mean,rhetorical_framing_sum,rhetorical_framing_count
Archie Young CMG,0.333,1,3,0.0,0,3,0.0,0,3,0.333,1,3,0.0,0,3,0.667,2,3
Barack Obama,0.172,10,58,0.017,1,58,0.052,3,58,0.224,13,58,0.103,6,58,0.534,31,58
Baroness Lloyd of Effra CBE,0.333,1,3,0.0,0,3,0.0,0,3,0.0,0,3,0.0,0,3,0.333,1,3
Calvin Coolidge,0.222,2,9,0.222,2,9,0.111,1,9,0.333,3,9,0.111,1,9,0.778,7,9
Donald J. Trump (1st Term),0.44,11,25,0.0,0,25,0.08,2,25,0.12,3,25,0.16,4,25,0.6,15,25
Donald J. Trump (2nd Term),0.25,1,4,0.25,1,4,0.0,0,4,0.0,0,4,0.25,1,4,0.5,2,4
Dwight D. Eisenhower,0.18,9,50,0.02,1,50,0.02,1,50,0.32,16,50,0.02,1,50,0.54,27,50
Eleanor Sanders,0.333,1,3,0.0,0,3,0.333,1,3,0.333,1,3,0.0,0,3,0.667,2,3
Emma Reynolds MP,0.0,0,7,0.0,0,7,0.0,0,7,0.0,0,7,0.0,0,7,0.286,2,7
Franklin D. Roosevelt,0.368,14,38,0.026,1,38,0.053,2,38,0.289,11,38,0.053,2,38,0.658,25,38
George Bush,0.25,6,24,0.0,0,24,0.083,2,24,0.25,6,24,0.0,0,24,0.583,14,24
George W. Bush,0.443,27,61,0.049,3,61,0.131,8,61,0.18,11,61,0.131,8,61,0.639,39,61
George Washington,0.308,4,13,0.154,2,13,0.077,1,13,0.077,1,13,0.0,0,13,0.538,7,13
Gerald R. Ford,0.25,4,16,0.062,1,16,0.062,1,16,0.25,4,16,0.0,0,16,0.375,6,16
Hamish Falconer MP,1.0,1,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,1.0,1,1
Harry S Truman,0.231,9,39,0.026,1,39,0.103,4,39,0.205,8,39,0.051,2,39,0.692,27,39
James Ford,0.5,2,4,0.5,2,4,0.0,0,4,0.25,1,4,0.0,0,4,0.75,3,4
James Kariuki CMG,0.333,2,6,0.167,1,6,0.0,0,6,0.5,3,6,0.167,1,6,1.0,6,6
Jimmy Carter,0.1,1,10,0.1,1,10,0.1,1,10,0.1,1,10,0.0,0,10,0.7,7,10
John Adams,0.143,1,7,0.143,1,7,0.0,0,7,0.143,1,7,0.0,0,7,0.429,3,7
